Complexity,Loss,Equation
1,0.6931459,"0.0011787023"
3,0.50375915,"x3 * x1"
5,0.43603194,"(x6 + x2) * x4"
7,0.3843893,"(x3 * (x7 + x1)) + -0.8513811"
9,0.30463496,"((x3 + x5) * (x7 + x1)) + -2.3727984"
11,0.29804885,"(-1.2305862 + ((x5 + x3) * (x7 + x1))) + -0.7148189"
15,0.28811732,"(((x6 + x2) + x0) * x4) + (x7 * ((x3 - x7) - x7))"
17,0.2732742,"(((x7 * x5) + (x4 * (x6 + x2))) - (x3 * (x8 + x0))) + -2.8302736"
19,0.2628975,"((x4 * (x6 + x2)) + -2.748211) + ((x7 * x5) - (x3 * (x0 + (-0.03713183 - x1))))"
